# 2theta(deg)  I(arb.units)
61.2025  2.961804e+01
61.4480  2.985469e+01
61.6938  3.009809e+01
61.9399  3.034729e+01
62.1863  3.060132e+01
62.4330  3.085914e+01
62.6801  3.111968e+01
62.9275  3.138185e+01
63.1752  3.164455e+01
63.4232  3.190668e+01
63.6716  3.216712e+01
63.9203  3.242479e+01
64.1694  3.267861e+01
64.4187  3.292756e+01
64.6685  3.317062e+01
64.9185  3.340684e+01
65.1690  3.363531e+01
65.4197  3.385518e+01
65.6709  3.406565e+01
65.9223  3.426599e+01
66.1742  3.445554e+01
66.4264  3.463370e+01
66.6789  3.479994e+01
66.9319  3.495379e+01
67.1852  3.509486e+01
67.4388  3.522284e+01
67.6929  3.533744e+01
67.9473  3.543848e+01
68.2021  3.552582e+01
68.4573  3.559938e+01
68.7129  3.565912e+01
68.9688  3.570506e+01
69.2252  3.573726e+01
69.4820  3.575583e+01
69.7391  3.576091e+01
69.9967  3.575264e+01
70.2547  3.573124e+01
70.5130  3.569691e+01
70.7718  3.564987e+01
71.0310  3.559037e+01
71.2906  3.551865e+01
71.5507  3.543498e+01
71.8112  3.533959e+01
72.0721  3.523276e+01
72.3334  3.511472e+01
72.5952  3.498573e+01
72.8574  3.484603e+01
73.1200  3.469584e+01
73.3831  3.453539e+01
73.6467  3.436489e+01
73.9107  3.418455e+01
74.1751  3.399458e+01
74.4401  3.379515e+01
74.7055  3.358647e+01
74.9713  3.336872e+01
75.2377  3.314207e+01
75.5045  3.290672e+01
75.7718  3.266284e+01
76.0396  3.241064e+01
76.3078  3.215030e+01
76.5766  3.188204e+01
76.8459  3.160607e+01
77.1156  3.132262e+01
77.3859  3.103196e+01
77.6567  3.073433e+01
77.9280  3.043003e+01
78.1998  3.011937e+01
78.4722  2.980266e+01
78.7451  2.948028e+01
79.0185  2.915257e+01
79.2924  2.881996e+01
79.5669  2.848285e+01
79.8420  2.814169e+01
80.1176  2.779694e+01
80.3937  2.744910e+01
80.6704  2.709866e+01
80.9477  2.674615e+01
81.2256  2.639210e+01
81.5040  2.603708e+01
81.7830  2.568163e+01
82.0627  2.532632e+01
82.3429  2.497173e+01
82.6237  2.461844e+01
82.9051  2.426701e+01
83.1871  2.391801e+01
83.4698  2.357201e+01
83.7530  2.322954e+01
84.0369  2.289115e+01
84.3215  2.255734e+01
84.6066  2.222861e+01
84.8925  2.190543e+01
85.1789  2.158824e+01
85.4661  2.127747e+01
85.7539  2.097348e+01
86.0423  2.067664e+01
86.3315  2.038725e+01
86.6213  2.010560e+01
86.9119  1.983193e+01
87.2031  1.956645e+01
