#! FIELDS lq4_mean lq6_mean file.free der_lq4_mean der_lq6_mean
#! SET min_lq4_mean -0.0657857
#! SET max_lq4_mean 0.345186
#! SET nbins_lq4_mean  60
#! SET periodic_lq4_mean false
#! SET min_lq6_mean -0.0583006
#! SET max_lq6_mean 0.371711
#! SET nbins_lq6_mean  62
#! SET periodic_lq6_mean false
   -0.065785700   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.058820078   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.051854456   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.044888834   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.037923212   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.030957590   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.023991968   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.017026346   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.010060724   -0.058300600 1418.616395834   -0.000000000   -0.000000000
   -0.003095102   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.003870520   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.010836142   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.017801764   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.024767386   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.031733008   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.038698631   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.045664253   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.052629875   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.059595497   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.066561119   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.073526741   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.080492363   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.087457985   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.094423607   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.101389229   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.108354851   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.115320473   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.122286095   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.129251717   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.136217339   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.143182961   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.150148583   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.157114205   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.164079827   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.171045449   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.178011071   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.184976693   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.191942315   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.198907937   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.205873559   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.212839181   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.219804803   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.226770425   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.233736047   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.240701669   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.247667292   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.254632914   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.261598536   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.268564158   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.275529780   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.282495402   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.289461024   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.296426646   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.303392268   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.310357890   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.317323512   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.324289134   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.331254756   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.338220378   -0.058300600 1418.616395834   -0.000000000   -0.000000000
    0.345186000   -0.058300600 1418.616395834   -0.000000000   -0.000000000

   -0.065785700   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.058820078   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.051854456   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.044888834   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.037923212   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.030957590   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.023991968   -0.051251230 1418.616395834   -0.000000000   -0.000000000
   -0.017026346   -0.051251230 1418.615316639   -0.513606337   -1.143862814
   -0.010060724   -0.051251230 1418.611376286   -0.601414269   -1.770982763
   -0.003095102   -0.051251230 1418.604779505   -1.098765542   -4.736864472
    0.003870520   -0.051251230 1418.598093960   -0.926121203   -6.681498355
    0.010836142   -0.051251230 1418.591496969   -0.637036454   -8.570457261
    0.017801764   -0.051251230 1418.588916513   -0.203540857   -9.802364997
    0.024767386   -0.051251230 1418.590035527    0.508714818   -9.613781783
    0.031733008   -0.051251230 1418.593761558    0.700295263   -8.799731171
    0.038698631   -0.051251230 1418.599062492    0.475516352   -6.982050984
    0.045664253   -0.051251230 1418.597274857   -0.365611943   -8.652489783
    0.052629875   -0.051251230 1418.596706549    0.206563873   -8.756224781
    0.059595497   -0.051251230 1418.598805941    0.246208416   -6.832096469
    0.066561119   -0.051251230 1418.602074307    0.595507902   -5.508468073
    0.073526741   -0.051251230 1418.606203217    0.624246071   -4.016309590
    0.080492363   -0.051251230 1418.611357683    0.818311716   -3.156711431
    0.087457985   -0.051251230 1418.615786909    0.579344666   -1.649098824
    0.094423607   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.101389229   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.108354851   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.115320473   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.122286095   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.129251717   -0.051251230 1418.616395834   -0.000000000   -0.000000000
    0.136217339   -0.051251230 1418.616395834   -0.000000000   -0.000000000
